Ranking;Título;Plataforma;Nota;Descripción;Desarrollador;Productora;Genero;Fecha_lanzamiento;Año_lanzamiento;URL
1;Elden Ring;XBOne;9,82;Elden Ring Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 96 Según 84 críticas Fecha de lanzamiento : 25/2/2022 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC COMUNIDAD 9.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring para PlayStation 5 59 votos #2 en el ranking de PlayStation 5 .;FromSoftware;Bandai Namco;Action-RPG / Hack and Slash / Tipo Souls;25/2/2022;2022;https://vandal.elespanol.com/juegos/ps5/elden-ring/102076#p-79
2;Red Dead Redemption 2;XBOne;9,68;Red Dead Redemption 2 Género/s: Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA Plataformas: También en: PC Ficha técnica de la versión PS4 Más información ANÁLISIS 10 97 Según 98 críticas Fecha de lanzamiento : 26/10/2018 Desarrollo: Rockstar Games Producción: Rockstar Games Distribución: Take-Two Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PS4 COMUNIDAD 9.21 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Red Dead Redemption 2 para PlayStation 4 284 votos #2 en el ranking de PlayStation 4 . #5 en el ranking global .;Rockstar Games;Rockstar Games;Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA;26/10/2018;2018;https://vandal.elespanol.com/juegos/ps4/red-dead-redemption-2/42942#p-79
3;Persona 5 Royal;PS4;9,67;Persona 5 Royal Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 10 95 Según 71 críticas Fecha de lanzamiento : 31/3/2020 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés / Japonés Online: - Requisitos PC COMUNIDAD 9.53 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 Royal para PlayStation 4 95 votos #1 en el ranking de PlayStation 4 . #3 en el ranking global .;Atlus;Atlus;JRPG / Rol;31/3/2020;2020;https://vandal.elespanol.com/juegos/ps4/persona-5-royal/69251#p-73
4;Elden Ring;PC;9,65;Elden Ring Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 96 Según 84 críticas Fecha de lanzamiento : 25/2/2022 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC COMUNIDAD 9.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring para PlayStation 5 59 votos #2 en el ranking de PlayStation 5 .;FromSoftware;Bandai Namco;Action-RPG / Hack and Slash / Tipo Souls;25/2/2022;2022;https://vandal.elespanol.com/juegos/ps5/elden-ring/102076#p-13
5;Hades 2;Switch;9,65;Hades 2 Género/s: Action-RPG / Dungeon Crawler / Roguelike Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.5 94 Según 46 críticas Fecha de lanzamiento : 25/9/2025 Desarrollo: Supergiant Games Producción: Supergiant Games Distribución: Steam Precio: 23.99 € Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: No Requisitos PC Logros Estadísticas Steam COMUNIDAD 8.47 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Hades 2 para Ordenador 3 votos Insuficientes votos para figurar en los rankings.;Supergiant Games;Supergiant Games;Action-RPG / Dungeon Crawler / Roguelike;25/9/2025;2025;https://vandal.elespanol.com/juegos/pc/hades-2/131658#p-83
6;Half-Life: Alyx;PC;9,63;Half-Life: Alyx Género/s: Aventura de acción / Realidad Virtual Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 10 93 Según 69 críticas Fecha de lanzamiento: 23/3/2020 Desarrollo: Valve Software Producción: Valve Software Distribución: Steam Precio: 49.99  Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: - Requisitos PC Logros Estadísticas Steam COMUNIDAD 9.6 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Half-Life: Alyx para Ordenador 19 votos #2 en el ranking de Ordenador . #5 en el ranking global .;Valve Software;Valve Software;Aventura de acción / Realidad Virtual;23/3/2020;2020;https://vandal.elespanol.com/juegos/pc/halflife-alyx/79546#p-13
7;Red Dead Redemption 2;PS4;9,63;Red Dead Redemption 2 Género/s: Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA Plataformas: También en: PC Ficha técnica de la versión PS4 Más información ANÁLISIS 10 97 Según 98 críticas Fecha de lanzamiento : 26/10/2018 Desarrollo: Rockstar Games Producción: Rockstar Games Distribución: Take-Two Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PS4 COMUNIDAD 9.21 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Red Dead Redemption 2 para PlayStation 4 284 votos #2 en el ranking de PlayStation 4 . #5 en el ranking global .;Rockstar Games;Rockstar Games;Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA;26/10/2018;2018;https://vandal.elespanol.com/juegos/ps4/red-dead-redemption-2/42942#p-73
8;Persona 5 Royal;Switch;9,63;Persona 5 Royal Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 10 95 Según 71 críticas Fecha de lanzamiento : 31/3/2020 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés / Japonés Online: - Requisitos PC COMUNIDAD 9.53 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 Royal para PlayStation 4 95 votos #1 en el ranking de PlayStation 4 . #3 en el ranking global .;Atlus;Atlus;JRPG / Rol;31/3/2020;2020;https://vandal.elespanol.com/juegos/ps4/persona-5-royal/69251#p-83
9;Elden Ring: Shadow of the Erdtree;PC;9,6;Elden Ring: Shadow of the Erdtree Género/s: Action-RPG / Mundo abierto / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 94 Según 64 críticas Fecha de lanzamiento: 21/6/2024 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 79.99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC COMUNIDAD 9.54 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring: Shadow of the Erdtree para PlayStation 5 6 votos Insuficientes votos para figurar en los rankings.;FromSoftware;Bandai Namco;Action-RPG / Mundo abierto / Tipo Souls;21/6/2024;2024;https://vandal.elespanol.com/juegos/ps5/elden-ring-shadow-of-the-erdtree/162589#p-13
10;The Legend of Zelda: Tears of the Kingdom;Switch;9,58;The Legend of Zelda: Tears of the Kingdom Género/s: Action-RPG / Aventura de acción / Mundo abierto Plataformas: Ficha técnica de la versión Switch Más información ANÁLISIS 10 96 Según 116 críticas Fecha de lanzamiento : 12/5/2023 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo Precio: 69,99  Jugadores: 1 Formato: Tarjeta Textos: Español Voces: Español Online: - COMUNIDAD 9.14 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Legend of Zelda: Tears of the Kingdom para Nintendo Switch 140 votos #3 en el ranking de Nintendo Switch . #7 en el ranking global .;Nintendo;Nintendo;Action-RPG / Aventura de acción / Mundo abierto;12/5/2023;2023;https://vandal.elespanol.com/juegos/switch/the-legend-of-zelda-tears-of-the-kingdom/74464#p-83
11;Baldur's Gate 3;PC;9,54;Baldur's Gate 3 Género/s: Action-RPG / RPG Occidental Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.8 96 Según 112 críticas Fecha de lanzamiento: 3/8/2023 Desarrollo: Larian Studios Producción: Larian Studios Distribución: Steam Precio: 59,99 € Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: - Requisitos PC Logros Estadísticas Steam COMUNIDAD 9.23 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Baldur's Gate 3 para Ordenador 38 votos #4 en el ranking de Ordenador . #8 en el ranking global .;Larian Studios;Larian Studios;Action-RPG / RPG Occidental;3/8/2023;2023;https://vandal.elespanol.com/juegos/pc/baldurs-gate-3/74185#p-13
12;The Legend of Zelda: Breath of the Wild;Switch;9,54;The Legend of Zelda: Breath of the Wild Género/s: Action-RPG / Aventura de acción / Mundo abierto Plataformas: Ficha técnica de la versión Switch Más información ANÁLISIS 9.5 97 Según 109 críticas Fecha de lanzamiento : 3/3/2017 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo Precio: 69,99  Jugadores: 1 Formato: Tarjeta Textos: Español Voces: Español Online: No COMUNIDAD 9.43 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Legend of Zelda: Breath of the Wild para Nintendo Switch 693 votos #4 en el ranking de Nintendo Switch . #8 en el ranking global .;Nintendo;Nintendo;Action-RPG / Aventura de acción / Mundo abierto;3/3/2017;2017;https://vandal.elespanol.com/juegos/switch/the-legend-of-zelda-breath-of-the-wild/43030#p-83
13;Super Mario Odyssey;Switch;9,52;Super Mario Odyssey Género/s: Plataformas Plataformas: Ficha técnica de la versión Switch Más información ANÁLISIS 9.6 97 Según 113 críticas Fecha de lanzamiento: 27/10/2017 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo Precio: 59,99  Jugadores: 1-2 Formato: Tarjeta Textos: Español Voces: No Online: No COMUNIDAD 9.26 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Super Mario Odyssey para Nintendo Switch 341 votos #5 en el ranking de Nintendo Switch . #9 en el ranking global .;Nintendo;Nintendo;Plataformas;27/10/2017;2017;https://vandal.elespanol.com/juegos/switch/super-mario-odyssey/43395#p-83
14;The Legend of Zelda: Ocarina of Time 3D;3DS;9,49;The Legend of Zelda: Ocarina of Time 3D Género/s: Action-RPG / Aventura de acción Plataformas: Ficha técnica de la versión Nintendo 3DS Más información ANÁLISIS 9.8 94 Según 85 críticas Fecha de lanzamiento: 17/6/2011 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo Precio: 45,95  Textos: Español Trucos Nintendo 3DS COMUNIDAD 9.28 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Legend of Zelda: Ocarina of Time 3D para Nintendo 3DS 620 votos #1 en el ranking de Nintendo 3DS . #10 en el ranking global .;Nintendo;Nintendo;Action-RPG / Aventura de acción;17/6/2011;2011;https://vandal.elespanol.com/juegos/3ds/the-legend-of-zelda-ocarina-of-time-3d/12807#p-47
15;Elden Ring;PS4;9,49;Elden Ring Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 96 Según 84 críticas Fecha de lanzamiento : 25/2/2022 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC COMUNIDAD 9.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring para PlayStation 5 59 votos #2 en el ranking de PlayStation 5 .;FromSoftware;Bandai Namco;Action-RPG / Hack and Slash / Tipo Souls;25/2/2022;2022;https://vandal.elespanol.com/juegos/ps5/elden-ring/102076#p-73
16;Persona 5 Royal;PC;9,48;Persona 5 Royal Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 10 95 Según 71 críticas Fecha de lanzamiento : 31/3/2020 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés / Japonés Online: - Requisitos PC COMUNIDAD 9.53 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 Royal para PlayStation 4 95 votos #1 en el ranking de PlayStation 4 . #3 en el ranking global .;Atlus;Atlus;JRPG / Rol;31/3/2020;2020;https://vandal.elespanol.com/juegos/ps4/persona-5-royal/69251#p-13
17;Super Smash Bros. Ultimate;Switch;9,48;Super Smash Bros. Ultimate Género/s: Lucha tipo Melee / Lucha Plataformas: Ficha técnica de la versión Switch Más información ANÁLISIS 10 93 Según 92 críticas Fecha de lanzamiento: 7/12/2018 Desarrollo: Bandai Namco Producción: Nintendo Distribución: Nintendo Precio: 69,99  Jugadores: 1-8 Formato: Tarjeta Textos: Español Voces: Español Online: Sí COMUNIDAD 9.15 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Super Smash Bros. Ultimate para Nintendo Switch 180 votos #6 en el ranking de Nintendo Switch . #11 en el ranking global .;Bandai Namco;Nintendo;Lucha tipo Melee / Lucha;7/12/2018;2018;https://vandal.elespanol.com/juegos/switch/super-smash-bros-ultimate/58489#p-83
18;Persona 4 Golden;PSVITA;9,46;Persona 4 Golden Género/s: JRPG / Simulador social Plataformas: Ficha técnica de la versión PSVITA Más información ANÁLISIS 9.8 93 Según 61 críticas Fecha de lanzamiento: 22/2/2013 Desarrollo: Atlus Producción: Atlus Distribución: Namco Bandai Precio: 39,95  Jugadores: 1 Formato: Tarjeta Textos: Inglés Voces: Inglés Online: No Requisitos PC Trucos PSVITA Trofeos Estadísticas PSN COMUNIDAD 9.3 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 4 Golden para PSVITA 167 votos #1 en el ranking de PSVITA . #12 en el ranking global .;Atlus;Atlus;JRPG / Simulador social;22/2/2013;2013;https://vandal.elespanol.com/juegos/psvita/persona-4-golden/14985#p-61
19;Hades 2;PC;9,44;Hades 2 Género/s: Action-RPG / Dungeon Crawler / Roguelike Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.5 94 Según 46 críticas Fecha de lanzamiento : 25/9/2025 Desarrollo: Supergiant Games Producción: Supergiant Games Distribución: Steam Precio: 23.99 € Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: No Requisitos PC Logros Estadísticas Steam COMUNIDAD 8.47 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Hades 2 para Ordenador 3 votos Insuficientes votos para figurar en los rankings.;Supergiant Games;Supergiant Games;Action-RPG / Dungeon Crawler / Roguelike;25/9/2025;2025;https://vandal.elespanol.com/juegos/pc/hades-2/131658#p-13
20;The Last of Us Remasterizado;PS4;9,44;The Last of Us Remasterizado Género/s: Aventura de acción / Survival Horror Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9.5 95 Según 69 críticas Fecha de lanzamiento : 30/7/2014 Desarrollo: Naughty Dog Producción: Sony Distribución: Sony Precio: 49,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: Sí Trucos PS4 Trofeos Estadísticas PSN COMUNIDAD 9.33 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Last of Us Remasterizado para PlayStation 4 865 votos #4 en el ranking de PlayStation 4 . #13 en el ranking global .;Naughty Dog;Sony;Aventura de acción / Survival Horror;30/7/2014;2014;https://vandal.elespanol.com/juegos/ps4/the-last-of-us-remasterizado/23887#p-73
21;Persona 5;PS4;9,44;Persona 5 Género/s: JRPG / Simulador social Plataformas: Ficha técnica de la versión PS3 Más información ANÁLISIS 9.8 Fecha de lanzamiento: 4/4/2017 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 49,99  Jugadores: 1 Formato: Blu-ray Textos: Inglés Voces: Inglés / Japonés Online: No Trucos PS3 Trofeos Estadísticas PSN COMUNIDAD 9.28 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 para PlayStation 3 40 votos #4 en el ranking de PlayStation 3 .;Atlus;Atlus;JRPG / Simulador social;4/4/2017;2017;https://vandal.elespanol.com/juegos/ps3/persona-5/12445#p-73
22;Grand Theft Auto V;PS4;9,42;Grand Theft Auto V Género/s: Mundo abierto / Tipo GTA Plataformas: También en: PS3 X360 PC XBOne PS5 XSX Ficha técnica de la versión PS4 Más información ANÁLISIS 9.6 97 Según 66 críticas Fecha de lanzamiento : 18/11/2014 Desarrollo: Rockstar North Producción: Rockstar Games Distribución: Take-Two Precio: 72,50  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PS4 Trofeos Estadísticas PSN COMUNIDAD 8.97 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Grand Theft Auto V para PlayStation 4 604 votos #5 en el ranking de PlayStation 4 . #14 en el ranking global .;Rockstar North;Rockstar Games;Mundo abierto / Tipo GTA;18/11/2014;2014;https://vandal.elespanol.com/juegos/ps4/grand-theft-auto-v/24761#p-73
23;Portal 2;PC;9,41;Portal 2 Género/s: Plataformas de puzles Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.6 95 Según 52 críticas Fecha de lanzamiento: 19/4/2011 Desarrollo: Valve Software Producción: Valve Software Distribución: Electronic Arts Precio: 44,95  Jugadores: 2 Formato: DVD Textos: Español Voces: Español Online: Sí Requisitos PC Trucos PC Logros Estadísticas Steam COMUNIDAD 9.15 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Portal 2 para Ordenador 225 votos #7 en el ranking de Ordenador . #15 en el ranking global .;Valve Software;Valve Software;Plataformas de puzles;19/4/2011;2011;https://vandal.elespanol.com/juegos/pc/portal-2/8775#p-13
24;Sekiro: Shadows Die Twice;XBOne;9,4;Sekiro: Shadows Die Twice Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9.5 90 Según 76 críticas Fecha de lanzamiento: 22/3/2019 Desarrollo: FromSoftware Producción: Activision Distribución: Activision Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: - Requisitos PC COMUNIDAD 8.8 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Sekiro: Shadows Die Twice para PlayStation 4 87 votos #16 en el ranking de PlayStation 4 . #46 en el ranking global .;FromSoftware;Activision;Action-RPG / Hack and Slash / Tipo Souls;22/3/2019;2019;https://vandal.elespanol.com/juegos/ps4/sekiro-shadows-die-twice/61912#p-79
25;Half-Life 2;PC;9,39;Half-Life 2 Género/s: Shooter en primera persona Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.7 Fecha de lanzamiento: 16/11/2004 Desarrollo: Valve Software Producción: Valve Software Distribución: Vivendi Games Precio: 54.95  Jugadores: 1 Formato: 1 DVD Textos: Español Voces: Español Online: Sí (Counter Strike) Requisitos PC Trucos PC Logros Estadísticas Steam COMUNIDAD 9.09 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Half-Life 2 para Ordenador 398 votos #8 en el ranking de Ordenador . #17 en el ranking global .;Valve Software;Valve Software;Shooter en primera persona;16/11/2004;2004;https://vandal.elespanol.com/juegos/pc/halflife-2/1913#p-13
26;StarCraft II: Wings of Liberty;PC;9,39;StarCraft II: Wings of Liberty Género/s: Estrategia en tiempo real / Estrategia Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.8 93 Según 82 críticas Fecha de lanzamiento: 27/7/2010 Desarrollo: Blizzard Producción: Blizzard Distribución: Vivendi Games Precio: 59.95  Jugadores: 1-Online Formato: 1 DVD Textos: Español Voces: Español Online: Juego Online Requisitos PC Trucos PC COMUNIDAD 9.08 Seguir - 10 9 8 7 6 5 4 3 2 1 0 StarCraft II: Wings of Liberty para Ordenador 193 votos #8 en el ranking de Ordenador . #17 en el ranking global .;Blizzard;Blizzard;Estrategia en tiempo real / Estrategia;27/7/2010;2010;https://vandal.elespanol.com/juegos/pc/starcraft-ii-wings-of-liberty/7225#p-13
27;Super Mario Bros. 3 CV;3DS;9,39;Super Mario Bros. 3 CV Género/s: Plataformas Plataformas: Ficha técnica de la versión Wii U Más información ANÁLISIS 10 Fecha de lanzamiento: 26/12/2013 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo eShop Precio: 4,99  Jugadores: 1-2 Formato: Descarga Textos: Inglés Voces: No Online: No COMUNIDAD 9.12 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Super Mario Bros. 3 CV para Wii U 43 votos #1 en el ranking de Wii U .;Nintendo;Nintendo;Plataformas;26/12/2013;2013;https://vandal.elespanol.com/juegos/wiiu/super-mario-bros-3-cv/22729#p-47
28;The Elder Scrolls V: Skyrim;PC;9,38;The Elder Scrolls V: Skyrim Género/s: Mundo abierto / RPG Occidental Plataformas: Ficha técnica de la versión PS3 Más información ANÁLISIS 9.8 92 Según 16 críticas Fecha de lanzamiento: 11/11/2011 Desarrollo: Bethesda Softworks Producción: Bethesda Softworks Distribución: Koch Media Precio: 69,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC Trofeos Estadísticas PSN COMUNIDAD 9.05 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Elder Scrolls V: Skyrim para PlayStation 3 427 votos #9 en el ranking de PlayStation 3 .;Bethesda Softworks;Bethesda Softworks;Mundo abierto / RPG Occidental;11/11/2011;2011;https://vandal.elespanol.com/juegos/ps3/the-elder-scrolls-v-skyrim/9686#p-13
29;BioShock;PC;9,37;BioShock Género/s: Aventura de acción / Shooter en primera persona Plataformas: También en: iPhone Ficha técnica de la versión Xbox 360 Más información ANÁLISIS 9.6 96 Según 88 críticas Fecha de lanzamiento: 31/8/2007 Desarrollo: Irrational Games Producción: 2K Games Distribución: Take-Two Precio: 69.95  Jugadores: 1 Formato: 1 DVD Textos: Español Voces: Español Requisitos PC Trucos Xbox 360 Logros Estadísticas XBOX LIVE COMUNIDAD 9.08 Seguir - 10 9 8 7 6 5 4 3 2 1 0 BioShock para Xbox 360 563 votos #4 en el ranking de Xbox 360 .;Irrational Games;2K Games;Aventura de acción / Shooter en primera persona;31/8/2007;2007;https://vandal.elespanol.com/juegos/x360/bioshock/6098#p-13
30;God of War;PS4;9,37;God of War Género/s: Aventura de acción / Hack and Slash Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9.4 94 Según 118 críticas Fecha de lanzamiento : 20/4/2018 Desarrollo: Santa Monica Studio Producción: Sony Distribución: Sony Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC COMUNIDAD 9.32 Seguir - 10 9 8 7 6 5 4 3 2 1 0 God of War para PlayStation 4 413 votos #6 en el ranking de PlayStation 4 . #19 en el ranking global .;Santa Monica Studio;Sony;Aventura de acción / Hack and Slash;20/4/2018;2018;https://vandal.elespanol.com/juegos/ps4/god-of-war/27407#p-73
31;Divinity: Original Sin II;PS4;9,37;Divinity: Original Sin II Género/s: RPG Occidental / Tactical RPG Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.8 93 Según 72 críticas Fecha de lanzamiento: 14/9/2017 Desarrollo: Larian Studios Producción: Larian Studios Distribución: Steam Precio: 44,99  Jugadores: 1 Formato: Descarga Textos: Inglés Voces: Inglés Online: Sí Requisitos PC Logros Estadísticas Steam COMUNIDAD 8.89 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Divinity: Original Sin II para Ordenador 44 votos #13 en el ranking de Ordenador . #23 en el ranking global .;Larian Studios;Larian Studios;RPG Occidental / Tactical RPG;14/9/2017;2017;https://vandal.elespanol.com/juegos/pc/divinity-original-sin-ii/32815#p-73
32;Forza Horizon 4;XBOne;9,37;Forza Horizon 4 Género/s: Carreras arcade / Coches Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.5 88 Según 22 críticas Fecha de lanzamiento: 2/10/2018 Desarrollo: Playground Games Producción: Xbox Game Studios Distribución: Steam Precio: 69.99  Jugadores: 1-Online Formato: Descarga Textos: Español Voces: Inglés Online: Sí Requisitos PC Logros Estadísticas Steam COMUNIDAD 9.23 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Forza Horizon 4 para Ordenador 20 votos #24 en el ranking de Ordenador . #39 en el ranking global .;Playground Games;Xbox Game Studios;Carreras arcade / Coches;2/10/2018;2018;https://vandal.elespanol.com/juegos/pc/forza-horizon-4/59799#p-79
33;Grand Theft Auto V;PC;9,36;Grand Theft Auto V Género/s: Mundo abierto / Tipo GTA Plataformas: También en: PS3 X360 PS4 XBOne PS5 XSX Ficha técnica de la versión PC Más información ANÁLISIS 9.6 96 Según 57 críticas Fecha de lanzamiento : 14/4/2015 Desarrollo: Rockstar North Producción: Rockstar Games Distribución: Take-Two Precio: 62,50  Jugadores: 1 Formato: DVD Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PC Logros Estadísticas Steam COMUNIDAD 8.9 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Grand Theft Auto V para Ordenador 361 votos #11 en el ranking de Ordenador . #20 en el ranking global .;Rockstar North;Rockstar Games;Mundo abierto / Tipo GTA;14/4/2015;2015;https://vandal.elespanol.com/juegos/pc/grand-theft-auto-v/15192#p-13
34;Mass Effect 2;PC;9,35;Mass Effect 2 Género/s: Action-RPG / RPG Occidental Plataformas: Ficha técnica de la versión Xbox 360 Más información ANÁLISIS 9.6 96 Según 98 críticas Fecha de lanzamiento: 29/1/2010 Desarrollo: Bioware Producción: Electronic Arts Distribución: Electronic Arts Precio: 69.95  Jugadores: 1 Formato: 1 DVD Textos: Español Voces: Inglés Online: Contenido descargable Requisitos PC Trucos Xbox 360 Logros Estadísticas XBOX LIVE COMUNIDAD 9.22 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Mass Effect 2 para Xbox 360 508 votos #3 en el ranking de Xbox 360 .;Bioware;Electronic Arts;Action-RPG / RPG Occidental;29/1/2010;2010;https://vandal.elespanol.com/juegos/x360/mass-effect-2/9981#p-13
35;Street Fighter 6;PC;9,35;Street Fighter 6 Género/s: Lucha 2D / Lucha Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.5 92 Según 30 críticas Fecha de lanzamiento : 2/6/2023 Desarrollo: Capcom Producción: Capcom Distribución: Steam Precio: 59.99  Jugadores: 1-2 Formato: Descarga Textos: Español Voces: Inglés Online: Sí Requisitos PC Logros Estadísticas Steam COMUNIDAD 10 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Street Fighter 6 para Ordenador 1 votos Insuficientes votos para figurar en los rankings.;Capcom;Capcom;Lucha 2D / Lucha;2/6/2023;2023;https://vandal.elespanol.com/juegos/pc/street-fighter-6/115018#p-13
36;God of War: Ragnarok;PS4;9,35;God of War: Ragnarok Género/s: Aventura de acción / Hack and Slash Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 9.8 94 Según 140 críticas Fecha de lanzamiento : 9/11/2022 Desarrollo: Santa Monica Studio Producción: PlayStation Studios Distribución: Sony Precio: 79,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: - Requisitos PC COMUNIDAD 9.33 Seguir - 10 9 8 7 6 5 4 3 2 1 0 God of War: Ragnarok para PlayStation 5 87 votos #3 en el ranking de PlayStation 5 .;Santa Monica Studio;PlayStation Studios;Aventura de acción / Hack and Slash;9/11/2022;2022;https://vandal.elespanol.com/juegos/ps5/god-of-war-ragnarok/90451#p-73
