Ranking;Título;Plataforma;Nota;Descripción;Desarrollador;Productora;Genero;Fecha_lanzamiento;Año_lanzamiento;URL
839;Mortal Kombat;PSVITA;8,55;Mortal Kombat Género/s: Lucha 3D / Lucha Plataformas: Ficha técnica de la versión PS3 Más información ANÁLISIS 9 84 Según 60 críticas Fecha de lanzamiento: 26/4/2011 Desarrollo: Warner Bros. Games Producción: Warner Bros. Games Distribución: Warner Bros. Games Precio: 61,50  Jugadores: 1-4 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Trucos PS3 Trofeos Estadísticas PSN COMUNIDAD 8.83 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Mortal Kombat para PlayStation 3 257 votos #52 en el ranking de PlayStation 3 .;Warner Bros. Games;Warner Bros. Games;Lucha 3D / Lucha;26/4/2011;2011;https://vandal.elespanol.com/juegos/ps3/mortal-kombat/12176#p-61
840;Guilty Gear Xrd -SIGN-;PS4;8,55;Guilty Gear Xrd -SIGN- Género/s: Lucha 2D / Lucha Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9 84 Según 33 críticas Fecha de lanzamiento: 3/6/2015 Desarrollo: Arc System Works Producción: Arc System Works Distribución: PlayStation Store Precio: 49,99  Jugadores: 1-2 Formato: Descarga Textos: Inglés Voces: Inglés/Japonés Online: Sí Requisitos PC Trucos PS4 Trofeos Estadísticas PSN COMUNIDAD 8.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Guilty Gear Xrd -SIGN- para PlayStation 4 19 votos #59 en el ranking de PlayStation 4 . #100 en el ranking global .;Arc System Works;Arc System Works;Lucha 2D / Lucha;3/6/2015;2015;https://vandal.elespanol.com/juegos/ps4/guilty-gear-xrd-sign/22271#p-73
841;Final Fantasy X/X-2 HD Remaster;PS4;8,55;Final Fantasy X/X-2 HD Remaster Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.5 84 Según 30 críticas Fecha de lanzamiento: 15/5/2015 Desarrollo: Square Enix Producción: Square Enix Distribución: Koch Media Precio: 49,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: No Requisitos PC Trucos PS4 COMUNIDAD 8.76 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Final Fantasy X/X-2 HD Remaster para PlayStation 4 75 votos #59 en el ranking de PlayStation 4 . #100 en el ranking global .;Square Enix;Square Enix;JRPG / Rol;15/5/2015;2015;https://vandal.elespanol.com/juegos/ps4/final-fantasy-xx2-hd-remaster/27524#p-73
842;Tales from the Borderlands - Episode 3: Catch a Ride;PS4;8,55;Tales from the Borderlands - Episode 3: Catch a Ride Género/s: Aventura Gráfica / Aventura narrativa Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.8 83 Según 12 críticas Fecha de lanzamiento: 23/6/2015 Desarrollo: Telltale Games Producción: Telltale Games Distribución: PlayStation Store Precio: 4,99  Jugadores: 1 Formato: Descarga Textos: Inglés Voces: Inglés Online: Marcadores Requisitos PC Trucos PS4 COMUNIDAD 7.36 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Tales from the Borderlands - Episode 3: Catch a Ride para PlayStation 4 2 votos Insuficientes votos para figurar en los rankings.;Telltale Games;Telltale Games;Aventura Gráfica / Aventura narrativa;23/6/2015;2015;https://vandal.elespanol.com/juegos/ps4/tales-from-the-borderlands-episode-3-catch-a-ride/31192#p-73
843;Mortal Kombat XL;PS4;8,55;Mortal Kombat XL Género/s: Lucha 3D / Lucha Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 85 Según 12 críticas Fecha de lanzamiento: 4/3/2016 Desarrollo: NetherRealm Studios Producción: Warner Bros. Games Distribución: Warner Bros. Games Precio: 59,95  Jugadores: 1-2 Formato: Blu-ray Textos: Español Voces: Español Online: Sí Trucos PS4 COMUNIDAD 8.6 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Mortal Kombat XL para PlayStation 4 46 votos #59 en el ranking de PlayStation 4 . #100 en el ranking global .;NetherRealm Studios;Warner Bros. Games;Lucha 3D / Lucha;4/3/2016;2016;https://vandal.elespanol.com/juegos/ps4/mortal-kombat-xl/35650#p-73
844;Moonlighter;PS4;8,55;Moonlighter Género/s: Action-RPG / Dungeon Crawler / Roguelike Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9 81 Según 28 críticas Fecha de lanzamiento: 29/5/2018 Desarrollo: Digital Sun Games Producción: 11 bit studios Distribución: PlayStation Network Precio: 19,99  Jugadores: 1 Formato: Descarga Textos: Español Voces: - Online: - Requisitos PC COMUNIDAD 7.5 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Moonlighter para PlayStation 4 3 votos Insuficientes votos para figurar en los rankings.;Digital Sun Games;11 bit studios;Action-RPG / Dungeon Crawler / Roguelike;29/5/2018;2018;https://vandal.elespanol.com/juegos/ps4/moonlighter/39602#p-73
845;Wolfenstein II: The New Colossus;PS4;8,55;Wolfenstein II: The New Colossus Género/s: Shooter en primera persona Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.5 87 Según 69 críticas Fecha de lanzamiento: 27/10/2017 Desarrollo: MachineGames Producción: Bethesda Softworks Distribución: Koch Media Precio: 69,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC COMUNIDAD 8.46 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Wolfenstein II: The New Colossus para PlayStation 4 52 votos #59 en el ranking de PlayStation 4 . #100 en el ranking global .;MachineGames;Bethesda Softworks;Shooter en primera persona;27/10/2017;2017;https://vandal.elespanol.com/juegos/ps4/wolfenstein-ii-the-new-colossus/49083#p-73
846;Cities: Skylines;PS4;8,55;Cities: Skylines Género/s: Construir ciudades / Estrategia Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 8.2 85 Según 60 críticas Fecha de lanzamiento: 10/3/2015 Desarrollo: Colossal Order Producción: Paradox Interactive Distribución: Steam Precio: 27,99  Jugadores: 1 Formato: Descarga Textos: Español Voces: No Online: No Requisitos PC Logros Estadísticas Steam COMUNIDAD 8.3 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Cities: Skylines para Ordenador 36 votos #105 en el ranking de Ordenador . #122 en el ranking global .;Colossal Order;Paradox Interactive;Construir ciudades / Estrategia;10/3/2015;2015;https://vandal.elespanol.com/juegos/pc/cities-skylines/25610#p-73
847;Dragon Quest Builders 2;PS4;8,55;Dragon Quest Builders 2 Género/s: Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.5 86 Según 63 críticas Fecha de lanzamiento: 12/7/2019 Desarrollo: Square Enix Producción: Square Enix Distribución: Koch Media Precio: 59,99  Jugadores: 1-4 Formato: Blu-ray Textos: Español Voces: - Online: Sí Requisitos PC COMUNIDAD 8.5 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Dragon Quest Builders 2 para PlayStation 4 2 votos Insuficientes votos para figurar en los rankings.;Square Enix;Square Enix;Rol;12/7/2019;2019;https://vandal.elespanol.com/juegos/ps4/dragon-quest-builders-2/50991#p-73
848;Disco Elysium - The Final Cut;PS4;8,55;Disco Elysium Género/s: Detectives / RPG Occidental Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.2 91 Según 64 críticas Fecha de lanzamiento: 15/10/2019 Desarrollo: ZA / UM Producción: ZA / UM Distribución: Steam Precio: 39,99  Jugadores: 1 Formato: Descarga Textos: Inglés Voces: Inglés Online: - Requisitos PC COMUNIDAD 8.32 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Disco Elysium para Ordenador 25 votos #51 en el ranking de Ordenador . #68 en el ranking global .;ZA / UM;ZA / UM;Detectives / RPG Occidental;15/10/2019;2019;https://vandal.elespanol.com/juegos/pc/disco-elysium/77712#p-73
